parcel	section	section_num	lh_R	lh_G	lh_B	rh_R	rh_G	rh_B	s_R	s_G	s_B	Parcel Number
IFJp	Inferior_Frontal_Cortex	21	0.537255	0.627451	0.517647	0.509804	0.611765	0.533333	0.188235	0.12549	0.0627451	80
IFSp	Inferior_Frontal_Cortex	21	0.380392	0.384314	0.341176	0.486275	0.439216	0.435294	0.188235	0.12549	0.0627451	81
IFSa	Inferior_Frontal_Cortex	21	0.737255	0.788235	0.698039	0.831373	0.839216	0.768627	0.188235	0.12549	0.0627451	82
p9-46v	DorsoLateral_Prefrontal_Cortex	22	0.541176	0.584314	0.52549	0.584314	0.560784	0.537255	0.878431	0.752941	0.752941	83
46	DorsoLateral_Prefrontal_Cortex	22	0.811765	0.85098	0.784314	0.756863	0.835294	0.74902	0.878431	0.752941	0.752941	84
a9-46v	DorsoLateral_Prefrontal_Cortex	22	0.568627	0.439216	0.501961	0.694118	0.52549	0.607843	0.878431	0.752941	0.752941	85
9-46d	DorsoLateral_Prefrontal_Cortex	22	0.54902	0.458824	0.513726	0.627451	0.529412	0.592157	0.878431	0.752941	0.752941	86
9a	DorsoLateral_Prefrontal_Cortex	22	0.215686	0.203922	0.176471	0.25098	0.215686	0.215686	0.878431	0.752941	0.752941	87
10v	Anterior_Cingulate	19	0.054902	0.137255	0.054902	0	0.0705882	0.0156863	0.376471	0.25098	0.12549	88
a10p	Orbital_and_Polar_Frontal_Cortex	20	0.384314	0.294118	0.34902	0.407843	0.356863	0.439216	0.752941	0.752941	0.752941	89
10pp	Orbital_and_Polar_Frontal_Cortex	20	0.215686	0.243137	0.227451	0.164706	0.192157	0.2	0.752941	0.752941	0.752941	90
11l	Orbital_and_Polar_Frontal_Cortex	20	0.505882	0.415686	0.462745	0.415686	0.384314	0.423529	0.752941	0.752941	0.752941	91
13l	Orbital_and_Polar_Frontal_Cortex	20	0.321569	0.235294	0.270588	0.372549	0.333333	0.345098	0.752941	0.752941	0.752941	92
OFC	Orbital_and_Polar_Frontal_Cortex	20	0.156863	0.137255	0.121569	0.160784	0.14902	0.141176	0.752941	0.752941	0.752941	93
47s	Orbital_and_Polar_Frontal_Cortex	20	0.258824	0.137255	0.129412	0.254902	0.145098	0.14902	0.752941	0.752941	0.752941	94
LIPd	Superior_Parietal_and_IPS	16	0.607843	0.705882	0.792157	0.568627	0.733333	0.780392	0	1	0.752941	95
6a	Premotor_Cortex	8	0.47451	0.752941	0.533333	0.466667	0.784314	0.560784	0.501961	1	0.501961	96
